dme:Dmel_CG10000	ncbi-geneid:43394
dme:Dmel_CG14835	ncbi-geneid:38832
dme:Dmel_CG14837	ncbi-geneid:38849
dme:Dmel_CG14838	ncbi-geneid:38851
dme:Dmel_CG14839	ncbi-geneid:41736
dme:Dmel_CG1484	ncbi-geneid:33110
dme:Dmel_CG14840	ncbi-geneid:41734
dme:Dmel_CG14841	ncbi-geneid:41735
dme:Dmel_CG14850	ncbi-geneid:41762
dme:Dmel_CG14851	ncbi-geneid:41763
dme:Dmel_CG14852	ncbi-geneid:41765
dme:Dmel_CG14853	ncbi-geneid:41771
dme:Dmel_CG14854	ncbi-geneid:41761
dme:Dmel_CG14855	ncbi-geneid:41789
dme:Dmel_CG14856	ncbi-geneid:41790
dme:Dmel_CG14857	ncbi-geneid:41791
dme:Dmel_CG1486	ncbi-geneid:33108
dme:Dmel_CG14860	ncbi-geneid:41803
dme:Dmel_CG14861	ncbi-geneid:41810
dme:Dmel_CG14864	ncbi-geneid:41846
dme:Dmel_CG14865	ncbi-geneid:41851
dme:Dmel_CG14866	ncbi-geneid:41854
dme:Dmel_CG14868	ncbi-geneid:41875
dme:Dmel_CG14869	ncbi-geneid:41887
dme:Dmel_CG1487	ncbi-geneid:53554
dme:Dmel_CG14870	ncbi-geneid:41888
dme:Dmel_CG14871	ncbi-geneid:41890
dme:Dmel_CG14877	ncbi-geneid:41929
dme:Dmel_CG14879	ncbi-geneid:41982
dme:Dmel_CG1488	ncbi-geneid:32170
dme:Dmel_CG14880	ncbi-geneid:41986
dme:Dmel_CG14881	ncbi-geneid:41990
dme:Dmel_CG14882	ncbi-geneid:41994
dme:Dmel_CG14883	ncbi-geneid:41997
dme:Dmel_CG14884	ncbi-geneid:42000
dme:Dmel_CG14885	ncbi-geneid:42001
dme:Dmel_CG14886	ncbi-geneid:42002
dme:Dmel_CG14887	ncbi-geneid:42003
dme:Dmel_CG1489	ncbi-geneid:33105
dme:Dmel_CG14891	ncbi-geneid:42013
dme:Dmel_CG14892	ncbi-geneid:42016
dme:Dmel_CG14893	ncbi-geneid:42023
dme:Dmel_CG14894	ncbi-geneid:41993
dme:Dmel_CG14895	ncbi-geneid:41995
dme:Dmel_CG14898	ncbi-geneid:42004
dme:Dmel_CG14899	ncbi-geneid:42005
dme:Dmel_CG1490	ncbi-geneid:32169
dme:Dmel_CG14900	ncbi-geneid:42006
dme:Dmel_CG14901	ncbi-geneid:42007
dme:Dmel_CG14902	ncbi-geneid:42008
dme:Dmel_CG14903	ncbi-geneid:42014
dme:Dmel_CG14904	ncbi-geneid:42015
dme:Dmel_CG14905	ncbi-geneid:42024
dme:Dmel_CG14906	ncbi-geneid:42030
dme:Dmel_CG14907	ncbi-geneid:42031
dme:Dmel_CG14909	ncbi-geneid:42041
dme:Dmel_CG14913	ncbi-geneid:34532
dme:Dmel_CG14915	ncbi-geneid:34536
dme:Dmel_CG14916	ncbi-geneid:34545
dme:Dmel_CG14919	ncbi-geneid:34537
dme:Dmel_CG1492	ncbi-geneid:32164
dme:Dmel_CG14920	ncbi-geneid:34538
dme:Dmel_CG14921	ncbi-geneid:34547
dme:Dmel_CG14925	ncbi-geneid:34566
dme:Dmel_CG14926	ncbi-geneid:34567
dme:Dmel_CG14928	ncbi-geneid:34572
dme:Dmel_CG14929	ncbi-geneid:3771749
dme:Dmel_CG14930	ncbi-geneid:34576
dme:Dmel_CG14931	ncbi-geneid:34588
dme:Dmel_CG14932	ncbi-geneid:34589
dme:Dmel_CG14933	ncbi-geneid:50442
dme:Dmel_CG14934	ncbi-geneid:34597
dme:Dmel_CG14935	ncbi-geneid:34598
dme:Dmel_CG14936	ncbi-geneid:34590
dme:Dmel_CG14937	ncbi-geneid:34591
dme:Dmel_CG14938	ncbi-geneid:34592
dme:Dmel_CG14939	ncbi-geneid:34593
dme:Dmel_CG1494	ncbi-geneid:33102
dme:Dmel_CG14941	ncbi-geneid:34595
dme:Dmel_CG14945	ncbi-geneid:34623
dme:Dmel_CG14946	ncbi-geneid:34627
dme:Dmel_CG14947	ncbi-geneid:34628
dme:Dmel_CG14948	ncbi-geneid:32572
dme:Dmel_CG14949	ncbi-geneid:38328
dme:Dmel_CG1495	ncbi-geneid:43792
dme:Dmel_CG14957	ncbi-geneid:38386
dme:Dmel_CG14958	ncbi-geneid:38387
dme:Dmel_CG14959	ncbi-geneid:38402
dme:Dmel_CG14960	ncbi-geneid:38403
dme:Dmel_CG14961	ncbi-geneid:38414
dme:Dmel_CG14962	ncbi-geneid:38381
dme:Dmel_CG14963	ncbi-geneid:38383
dme:Dmel_CG14964	ncbi-geneid:38384
dme:Dmel_CG14965	ncbi-geneid:38388
dme:Dmel_CG14966	ncbi-geneid:38390
dme:Dmel_CG14967	ncbi-geneid:38395
dme:Dmel_CG14968	ncbi-geneid:38406
dme:Dmel_CG14969	ncbi-geneid:38415
dme:Dmel_CG14971	ncbi-geneid:38429
dme:Dmel_CG14974	ncbi-geneid:50167
dme:Dmel_CG14975	ncbi-geneid:2769007
dme:Dmel_CG14977	ncbi-geneid:38454
dme:Dmel_CG14979	ncbi-geneid:38453
dme:Dmel_CG14980	ncbi-geneid:38455
dme:Dmel_CG14981	ncbi-geneid:38459
dme:Dmel_CG14982	ncbi-geneid:38464
dme:Dmel_CG14983	ncbi-geneid:38466
dme:Dmel_CG14984	ncbi-geneid:38467
dme:Dmel_CG14985	ncbi-geneid:38470
dme:Dmel_CG14987	ncbi-geneid:3772638
dme:Dmel_CG14989	ncbi-geneid:38485
dme:Dmel_CG1499	ncbi-geneid:43716
dme:Dmel_CG14990	ncbi-geneid:38486
dme:Dmel_CG14991	ncbi-geneid:38488
dme:Dmel_CG14992	ncbi-geneid:38489
dme:Dmel_CG14993	ncbi-geneid:45577
dme:Dmel_CG14994	ncbi-geneid:38484
dme:Dmel_CG14995	ncbi-geneid:38487
dme:Dmel_CG14996	ncbi-geneid:38490
dme:Dmel_CG14997	ncbi-geneid:38514
dme:Dmel_CG14998	ncbi-geneid:38491
dme:Dmel_CG14999	ncbi-geneid:38492
dme:Dmel_CG1500	ncbi-geneid:32162
dme:Dmel_CG15002	ncbi-geneid:38499
dme:Dmel_CG15003	ncbi-geneid:38501
dme:Dmel_CG15004	ncbi-geneid:38502
dme:Dmel_CG15005	ncbi-geneid:38506
dme:Dmel_CG15006	ncbi-geneid:38508
dme:Dmel_CG15007	ncbi-geneid:38509
dme:Dmel_CG15008	ncbi-geneid:38510
dme:Dmel_CG15009	ncbi-geneid:38513
dme:Dmel_CG1501	ncbi-geneid:33093
dme:Dmel_CG15010	ncbi-geneid:38516
dme:Dmel_CG15011	ncbi-geneid:38518
dme:Dmel_CG15012	ncbi-geneid:38529
dme:Dmel_CG15013	ncbi-geneid:38531
dme:Dmel_CG15014	ncbi-geneid:38533
dme:Dmel_CG15015	ncbi-geneid:38534
dme:Dmel_CG15016	ncbi-geneid:38535
dme:Dmel_CG15019	ncbi-geneid:38542
dme:Dmel_CG1502	ncbi-geneid:32160
dme:Dmel_CG15020	ncbi-geneid:38544
dme:Dmel_CG15021	ncbi-geneid:38546
dme:Dmel_CG15022	ncbi-geneid:38549
dme:Dmel_CG15023	ncbi-geneid:38550
dme:Dmel_CG15024	ncbi-geneid:50172
dme:Dmel_CG15025	ncbi-geneid:42328
dme:Dmel_CG15027	ncbi-geneid:32440
dme:Dmel_CG1503	ncbi-geneid:33090
dme:Dmel_CG15031	ncbi-geneid:32453
dme:Dmel_CG15033	ncbi-geneid:31672
dme:Dmel_CG15034	ncbi-geneid:31670
dme:Dmel_CG15035	ncbi-geneid:31673
dme:Dmel_CG15036	ncbi-geneid:50396
dme:Dmel_CG1504	ncbi-geneid:33028
dme:Dmel_CG15040	ncbi-geneid:32848
dme:Dmel_CG15042	ncbi-geneid:32844
dme:Dmel_CG15043	ncbi-geneid:32835
dme:Dmel_CG15044	ncbi-geneid:32834
dme:Dmel_CG15046	ncbi-geneid:32833
dme:Dmel_CG15047	ncbi-geneid:32845
dme:Dmel_CG1505	ncbi-geneid:32159
dme:Dmel_CG15056	ncbi-geneid:32824
dme:Dmel_CG15059	ncbi-geneid:32806
dme:Dmel_CG1506	ncbi-geneid:35419
dme:Dmel_CG15064	ncbi-geneid:32801
dme:Dmel_CG15065	ncbi-geneid:50207
dme:Dmel_CG15066	ncbi-geneid:37099
dme:Dmel_CG15067	ncbi-geneid:37102
dme:Dmel_CG15068	ncbi-geneid:50206
dme:Dmel_CG1507	ncbi-geneid:43797
dme:Dmel_CG15071	ncbi-geneid:37153
dme:Dmel_CG15073	ncbi-geneid:37155
dme:Dmel_CG15077	ncbi-geneid:37163
dme:Dmel_CG15078	ncbi-geneid:37165
dme:Dmel_CG15080	ncbi-geneid:37167
dme:Dmel_CG15081	ncbi-geneid:46038
dme:Dmel_CG15082	ncbi-geneid:37173
dme:Dmel_CG15083	ncbi-geneid:37175
dme:Dmel_CG15084	ncbi-geneid:37178
dme:Dmel_CG15085	ncbi-geneid:37149
dme:Dmel_CG15087	ncbi-geneid:37156
dme:Dmel_CG15088	ncbi-geneid:37157
dme:Dmel_CG15093	ncbi-geneid:37166
dme:Dmel_CG15094	ncbi-geneid:37168
dme:Dmel_CG15095	ncbi-geneid:46085
dme:Dmel_CG15096	ncbi-geneid:37170
dme:Dmel_CG15097	ncbi-geneid:37172
dme:Dmel_CG15098	ncbi-geneid:37174
dme:Dmel_CG15099	ncbi-geneid:37176
dme:Dmel_CG15100	ncbi-geneid:37177
dme:Dmel_CG15101	ncbi-geneid:251984
dme:Dmel_CG15102	ncbi-geneid:37181
dme:Dmel_CG15104	ncbi-geneid:37188
dme:Dmel_CG15105	ncbi-geneid:37190
dme:Dmel_CG15106	ncbi-geneid:37182
dme:Dmel_CG15107	ncbi-geneid:59128
dme:Dmel_CG15109	ncbi-geneid:37195
dme:Dmel_CG1511	ncbi-geneid:43803
dme:Dmel_CG15110	ncbi-geneid:37198
dme:Dmel_CG15111	ncbi-geneid:37200
dme:Dmel_CG15112	ncbi-geneid:37201
dme:Dmel_CG15113	ncbi-geneid:37191
dme:Dmel_CG15115	ncbi-geneid:37192
dme:Dmel_CG15116	ncbi-geneid:37194
dme:Dmel_CG15117	ncbi-geneid:37197
dme:Dmel_CG15118	ncbi-geneid:37199
dme:Dmel_CG15119	ncbi-geneid:37215
dme:Dmel_CG1512	ncbi-geneid:35420
dme:Dmel_CG15120	ncbi-geneid:37248
dme:Dmel_CG15121	ncbi-geneid:37250
dme:Dmel_CG15122	ncbi-geneid:37251
dme:Dmel_CG15124	ncbi-geneid:37256
dme:Dmel_CG15125	ncbi-geneid:37258
dme:Dmel_CG15126	ncbi-geneid:50202
dme:Dmel_CG15127	ncbi-geneid:50203
dme:Dmel_CG15128	ncbi-geneid:37263
dme:Dmel_CG1513	ncbi-geneid:36028
dme:Dmel_CG15130	ncbi-geneid:35312
dme:Dmel_CG15136	ncbi-geneid:35033
dme:Dmel_CG15138	ncbi-geneid:35037
dme:Dmel_CG1514	ncbi-geneid:31704
dme:Dmel_CG15140	ncbi-geneid:5740546
dme:Dmel_CG15141	ncbi-geneid:35044
dme:Dmel_CG15142	ncbi-geneid:35059
dme:Dmel_CG15143	ncbi-geneid:35062
dme:Dmel_CG15144	ncbi-geneid:35063
dme:Dmel_CG15145	ncbi-geneid:35064
dme:Dmel_CG15147	ncbi-geneid:35069
dme:Dmel_CG15148	ncbi-geneid:35073
dme:Dmel_CG1515	ncbi-geneid:31706
dme:Dmel_CG15150	ncbi-geneid:35076
dme:Dmel_CG15151	ncbi-geneid:35077
dme:Dmel_CG15152	ncbi-geneid:35082
dme:Dmel_CG15153	ncbi-geneid:35080
dme:Dmel_CG15154	ncbi-geneid:35085
dme:Dmel_CG15155	ncbi-geneid:35087
dme:Dmel_CG1516	ncbi-geneid:36020
dme:Dmel_CG15160	ncbi-geneid:35109
dme:Dmel_CG15161	ncbi-geneid:35114
dme:Dmel_CG15162	ncbi-geneid:35116
dme:Dmel_CG15167	ncbi-geneid:35134
dme:Dmel_CG15168	ncbi-geneid:35159
dme:Dmel_CG15169	ncbi-geneid:35161
dme:Dmel_CG1517	ncbi-geneid:45338
dme:Dmel_CG15170	ncbi-geneid:35160
dme:Dmel_CG15171	ncbi-geneid:35166
dme:Dmel_CG15172	ncbi-geneid:35167
dme:Dmel_CG15173	ncbi-geneid:35172
dme:Dmel_CG15177	ncbi-geneid:40810
dme:Dmel_CG15178	ncbi-geneid:40809
dme:Dmel_CG15179	ncbi-geneid:40811
dme:Dmel_CG1518	ncbi-geneid:33082
dme:Dmel_CG15180	ncbi-geneid:40807
dme:Dmel_CG15185	ncbi-geneid:40798
dme:Dmel_CG15186	ncbi-geneid:40797
dme:Dmel_CG15188	ncbi-geneid:40777
dme:Dmel_CG15189	ncbi-geneid:40776
dme:Dmel_CG1519	ncbi-geneid:36018
dme:Dmel_CG15191	ncbi-geneid:45848
dme:Dmel_CG15196	ncbi-geneid:32084
dme:Dmel_CG15198	ncbi-geneid:32065
dme:Dmel_CG15199	ncbi-geneid:32051
dme:Dmel_CG1520	ncbi-geneid:43402
dme:Dmel_CG15200	ncbi-geneid:32060
dme:Dmel_CG15201	ncbi-geneid:32053
dme:Dmel_CG15202	ncbi-geneid:32052
dme:Dmel_CG15203	ncbi-geneid:32038
dme:Dmel_CG15208	ncbi-geneid:32022
dme:Dmel_CG15209	ncbi-geneid:32011
dme:Dmel_CG15210	ncbi-geneid:50323
dme:Dmel_CG15211	ncbi-geneid:32006
dme:Dmel_CG15212	ncbi-geneid:50315
dme:Dmel_CG15213	ncbi-geneid:50316
dme:Dmel_CG15218	ncbi-geneid:49816
dme:Dmel_CG15219	ncbi-geneid:49992
dme:Dmel_CG15220	ncbi-geneid:32113
dme:Dmel_CG15221	ncbi-geneid:32127
dme:Dmel_CG15224	ncbi-geneid:32132
dme:Dmel_CG15225	ncbi-geneid:37354
dme:Dmel_CG15227	ncbi-geneid:37359
dme:Dmel_CG1523	ncbi-geneid:43400
dme:Dmel_CG15231	ncbi-geneid:50126
dme:Dmel_CG15233	ncbi-geneid:35556
dme:Dmel_CG15236	ncbi-geneid:35595
dme:Dmel_CG15237	ncbi-geneid:35591
dme:Dmel_CG15239	ncbi-geneid:31343
dme:Dmel_CG1524	ncbi-geneid:47218
dme:Dmel_CG15247	ncbi-geneid:31919
dme:Dmel_CG15249	ncbi-geneid:31924
dme:Dmel_CG15252	ncbi-geneid:31931
dme:Dmel_CG15253	ncbi-geneid:34916
dme:Dmel_CG15254	ncbi-geneid:34915
dme:Dmel_CG15255	ncbi-geneid:34913
dme:Dmel_CG15256	ncbi-geneid:34911
dme:Dmel_CG15257	ncbi-geneid:44381
dme:Dmel_CG15258	ncbi-geneid:34904
dme:Dmel_CG15259	ncbi-geneid:34902
dme:Dmel_CG15260	ncbi-geneid:34899
dme:Dmel_CG15261	ncbi-geneid:34897
dme:Dmel_CG15262	ncbi-geneid:34901
dme:Dmel_CG15263	ncbi-geneid:34898
dme:Dmel_CG15266	ncbi-geneid:34893
dme:Dmel_CG15267	ncbi-geneid:34891
dme:Dmel_CG15269	ncbi-geneid:34887
dme:Dmel_CG1527	ncbi-geneid:47219
dme:Dmel_CG15270	ncbi-geneid:34886
dme:Dmel_CG15274	ncbi-geneid:34878
dme:Dmel_CG15278	ncbi-geneid:34865
dme:Dmel_CG15279	ncbi-geneid:34863
dme:Dmel_CG1528	ncbi-geneid:43717
dme:Dmel_CG15282	ncbi-geneid:34853
dme:Dmel_CG15283	ncbi-geneid:50454
dme:Dmel_CG15284	ncbi-geneid:34845
dme:Dmel_CG15286	ncbi-geneid:34834
dme:Dmel_CG15287	ncbi-geneid:34833
dme:Dmel_CG1529	ncbi-geneid:33077
dme:Dmel_CG15293	ncbi-geneid:34828
dme:Dmel_CG15296	ncbi-geneid:31986
dme:Dmel_CG15302	ncbi-geneid:31975
dme:Dmel_CG15304	ncbi-geneid:50417
dme:Dmel_CG15306	ncbi-geneid:31961
dme:Dmel_CG15308	ncbi-geneid:50415
dme:Dmel_CG15309	ncbi-geneid:31949
dme:Dmel_CG15312	ncbi-geneid:31940
dme:Dmel_CG15317	ncbi-geneid:31898
dme:Dmel_CG15319	ncbi-geneid:43856
dme:Dmel_CG1532	ncbi-geneid:33076
dme:Dmel_CG15322	ncbi-geneid:33012
dme:Dmel_CG15323	ncbi-geneid:50257
dme:Dmel_CG15324	ncbi-geneid:31692
dme:Dmel_CG15325	ncbi-geneid:31694
dme:Dmel_CG15326	ncbi-geneid:31690
dme:Dmel_CG15329	ncbi-geneid:31705
dme:Dmel_CG15330	ncbi-geneid:31715
dme:Dmel_CG15332	ncbi-geneid:31714
dme:Dmel_CG15333	ncbi-geneid:31720
dme:Dmel_CG15335	ncbi-geneid:31733
dme:Dmel_CG15336	ncbi-geneid:31742
dme:Dmel_CG15337	ncbi-geneid:31748
dme:Dmel_CG15343	ncbi-geneid:31765
dme:Dmel_CG15347	ncbi-geneid:31779
dme:Dmel_CG15350	ncbi-geneid:31785
dme:Dmel_CG15351	ncbi-geneid:31786
dme:Dmel_CG15353	ncbi-geneid:50191
dme:Dmel_CG15356	ncbi-geneid:33370
dme:Dmel_CG15357	ncbi-geneid:50192
dme:Dmel_CG15358	ncbi-geneid:33366
dme:Dmel_CG15361	ncbi-geneid:50190
dme:Dmel_CG15362	ncbi-geneid:33371
dme:Dmel_CG15365	ncbi-geneid:31829
dme:Dmel_CG15367	ncbi-geneid:53580
dme:Dmel_CG15368	ncbi-geneid:31861
dme:Dmel_CG15369	ncbi-geneid:31862
dme:Dmel_CG1537	ncbi-geneid:32037
dme:Dmel_CG15370	ncbi-geneid:31864
dme:Dmel_CG15371	ncbi-geneid:31865
dme:Dmel_CG15373	ncbi-geneid:32784
dme:Dmel_CG15375	ncbi-geneid:31356
dme:Dmel_CG15377	ncbi-geneid:33381
dme:Dmel_CG15382	ncbi-geneid:33391
dme:Dmel_CG15385	ncbi-geneid:33396
dme:Dmel_CG15386	ncbi-geneid:50188
dme:Dmel_CG15387	ncbi-geneid:33403
dme:Dmel_CG1539	ncbi-geneid:43633
dme:Dmel_CG15390	ncbi-geneid:33422
dme:Dmel_CG15394	ncbi-geneid:33446
dme:Dmel_CG15395	ncbi-geneid:33447
dme:Dmel_CG15396	ncbi-geneid:33453
dme:Dmel_CG15398	ncbi-geneid:33454
dme:Dmel_CG15399	ncbi-geneid:33472
dme:Dmel_CG15400	ncbi-geneid:33476
dme:Dmel_CG15403	ncbi-geneid:33527
dme:Dmel_CG15404	ncbi-geneid:33537
dme:Dmel_CG15406	ncbi-geneid:33542
dme:Dmel_CG15408	ncbi-geneid:33548
dme:Dmel_CG15412	ncbi-geneid:33553
dme:Dmel_CG15414	ncbi-geneid:33570
dme:Dmel_CG15415	ncbi-geneid:33578
dme:Dmel_CG15418	ncbi-geneid:33585
dme:Dmel_CG1542	ncbi-geneid:43691
dme:Dmel_CG15422	ncbi-geneid:33615
dme:Dmel_CG15423	ncbi-geneid:33616
dme:Dmel_CG15425	ncbi-geneid:33630
dme:Dmel_CG15427	ncbi-geneid:46015
dme:Dmel_CG15429	ncbi-geneid:33637
dme:Dmel_CG1543	ncbi-geneid:31718
dme:Dmel_CG15431	ncbi-geneid:33646
dme:Dmel_CG15432	ncbi-geneid:33647
dme:Dmel_CG15433	ncbi-geneid:33649
dme:Dmel_CG15434	ncbi-geneid:50178
dme:Dmel_CG15435	ncbi-geneid:33655
dme:Dmel_CG15436	ncbi-geneid:33657
dme:Dmel_CG15437	ncbi-geneid:33648
dme:Dmel_CG15438	ncbi-geneid:33650
dme:Dmel_CG15439	ncbi-geneid:33651
dme:Dmel_CG1544	ncbi-geneid:43689
dme:Dmel_CG15440	ncbi-geneid:33652
dme:Dmel_CG15441	ncbi-geneid:33653
dme:Dmel_CG15442	ncbi-geneid:33654
dme:Dmel_CG15443	ncbi-geneid:33656
dme:Dmel_CG15444	ncbi-geneid:33659
dme:Dmel_CG15445	ncbi-geneid:33094
dme:Dmel_CG15446	ncbi-geneid:33088
dme:Dmel_CG15449	ncbi-geneid:33079
dme:Dmel_CG1545	ncbi-geneid:32036
dme:Dmel_CG15450	ncbi-geneid:33064
dme:Dmel_CG15452	ncbi-geneid:33061
dme:Dmel_CG15456	ncbi-geneid:50123
dme:Dmel_CG15457	ncbi-geneid:33039
dme:Dmel_CG15458	ncbi-geneid:50124
dme:Dmel_CG15459	ncbi-geneid:33036
dme:Dmel_CG1546	ncbi-geneid:43623
dme:Dmel_CG15460	ncbi-geneid:33032
dme:Dmel_CG15461	ncbi-geneid:50122
dme:Dmel_CG15465	ncbi-geneid:31434
dme:Dmel_CG15468	ncbi-geneid:31426
dme:Dmel_CG15471	ncbi-geneid:31412
dme:Dmel_CG15472	ncbi-geneid:31409
dme:Dmel_CG15473	ncbi-geneid:31401
dme:Dmel_CG15475	ncbi-geneid:35319
dme:Dmel_CG15478	ncbi-geneid:31679
dme:Dmel_CG15479	ncbi-geneid:34727
dme:Dmel_CG1548	ncbi-geneid:45268
dme:Dmel_CG15480	ncbi-geneid:34723
dme:Dmel_CG15481	ncbi-geneid:34721
dme:Dmel_CG15482	ncbi-geneid:34717
dme:Dmel_CG15483	ncbi-geneid:34687
dme:Dmel_CG15484	ncbi-geneid:34682
dme:Dmel_CG15485	ncbi-geneid:34671
dme:Dmel_CG15497	ncbi-geneid:42552
dme:Dmel_CG15498	ncbi-geneid:42548
dme:Dmel_CG1550	ncbi-geneid:35732
dme:Dmel_CG15503	ncbi-geneid:42540
dme:Dmel_CG15504	ncbi-geneid:43495
dme:Dmel_CG15505	ncbi-geneid:43496
dme:Dmel_CG15506	ncbi-geneid:43498
dme:Dmel_CG15510	ncbi-geneid:43526
dme:Dmel_CG15514	ncbi-geneid:43531
dme:Dmel_CG15515	ncbi-geneid:43538
dme:Dmel_CG15517	ncbi-geneid:43537
dme:Dmel_CG1552	ncbi-geneid:32035
dme:Dmel_CG15520	ncbi-geneid:43541
dme:Dmel_CG15522	ncbi-geneid:43546
dme:Dmel_CG15523	ncbi-geneid:43550
dme:Dmel_CG15524	ncbi-geneid:43555
dme:Dmel_CG15525	ncbi-geneid:43556
dme:Dmel_CG15526	ncbi-geneid:43578
dme:Dmel_CG15527	ncbi-geneid:43564
dme:Dmel_CG15528	ncbi-geneid:43575
dme:Dmel_CG15529	ncbi-geneid:43584
dme:Dmel_CG1553	ncbi-geneid:35730
dme:Dmel_CG15530	ncbi-geneid:43589
dme:Dmel_CG15531	ncbi-geneid:43592
dme:Dmel_CG15532	ncbi-geneid:43604
dme:Dmel_CG15533	ncbi-geneid:43612
dme:Dmel_CG15534	ncbi-geneid:43613
dme:Dmel_CG15535	ncbi-geneid:43608
dme:Dmel_CG15536	ncbi-geneid:43610
dme:Dmel_CG15537	ncbi-geneid:43614
dme:Dmel_CG15538	ncbi-geneid:43615
dme:Dmel_CG15539	ncbi-geneid:43627
dme:Dmel_CG1554	ncbi-geneid:32100
dme:Dmel_CG15543	ncbi-geneid:43647
dme:Dmel_CG15544	ncbi-geneid:43655
dme:Dmel_CG15545	ncbi-geneid:43658
dme:Dmel_CG15546	ncbi-geneid:43659
dme:Dmel_CG15547	ncbi-geneid:43661
dme:Dmel_CG15548	ncbi-geneid:43667
dme:Dmel_CG15549	ncbi-geneid:43665
dme:Dmel_CG1555	ncbi-geneid:35724
dme:Dmel_CG15550	ncbi-geneid:43666
dme:Dmel_CG15551	ncbi-geneid:43668
dme:Dmel_CG15552	ncbi-geneid:45039
dme:Dmel_CG15553	ncbi-geneid:43677
dme:Dmel_CG15554	ncbi-geneid:43680
dme:Dmel_CG15555	ncbi-geneid:43702
dme:Dmel_CG15556	ncbi-geneid:43681
dme:Dmel_CG15561	ncbi-geneid:43692
dme:Dmel_CG15563	ncbi-geneid:43695
dme:Dmel_CG15564	ncbi-geneid:43696
dme:Dmel_CG15570	ncbi-geneid:31366
dme:Dmel_CG15571	ncbi-geneid:31365
dme:Dmel_CG15572	ncbi-geneid:31371
dme:Dmel_CG15573	ncbi-geneid:31367
dme:Dmel_CG15576	ncbi-geneid:31369
dme:Dmel_CG15577	ncbi-geneid:50378
dme:Dmel_CG15578	ncbi-geneid:50379
dme:Dmel_CG15579	ncbi-geneid:50380
dme:Dmel_CG1558	ncbi-geneid:32102
dme:Dmel_CG15580	ncbi-geneid:40743
dme:Dmel_CG15581	ncbi-geneid:40744
dme:Dmel_CG15582	ncbi-geneid:40746
dme:Dmel_CG15585	ncbi-geneid:40752
dme:Dmel_CG15589	ncbi-geneid:40755
dme:Dmel_CG1559	ncbi-geneid:32153
dme:Dmel_CG15590	ncbi-geneid:40759
dme:Dmel_CG15591	ncbi-geneid:40762
dme:Dmel_CG15592	ncbi-geneid:40763
dme:Dmel_CG15594	ncbi-geneid:40768
dme:Dmel_CG15595	ncbi-geneid:40769
dme:Dmel_CG15596	ncbi-geneid:40765
dme:Dmel_CG15597	ncbi-geneid:40767
dme:Dmel_CG15598	ncbi-geneid:40774
dme:Dmel_CG15599	ncbi-geneid:32503
dme:Dmel_CG1560	ncbi-geneid:44885
dme:Dmel_CG15601	ncbi-geneid:32509
dme:Dmel_CG15602	ncbi-geneid:32533
dme:Dmel_CG15605	ncbi-geneid:36933
dme:Dmel_CG15609	ncbi-geneid:36912
dme:Dmel_CG1561	ncbi-geneid:32108
dme:Dmel_CG15611	ncbi-geneid:36930
dme:Dmel_CG15614	ncbi-geneid:36899
dme:Dmel_CG15615	ncbi-geneid:36882
dme:Dmel_CG15616	ncbi-geneid:36873
dme:Dmel_CG15617	ncbi-geneid:36871
dme:Dmel_CG15618	ncbi-geneid:33001
dme:Dmel_CG15623	ncbi-geneid:33360
dme:Dmel_CG15624	ncbi-geneid:33700
dme:Dmel_CG15625	ncbi-geneid:33694
dme:Dmel_CG15626	ncbi-geneid:33684
dme:Dmel_CG15627	ncbi-geneid:33683
dme:Dmel_CG15628	ncbi-geneid:33681
dme:Dmel_CG15629	ncbi-geneid:33679
dme:Dmel_CG15630	ncbi-geneid:33676
dme:Dmel_CG15631	ncbi-geneid:33675
dme:Dmel_CG15632	ncbi-geneid:33672
dme:Dmel_CG15634	ncbi-geneid:33670
dme:Dmel_CG15635	ncbi-geneid:33665
dme:Dmel_CG15636	ncbi-geneid:33661
dme:Dmel_CG15638	ncbi-geneid:34768
dme:Dmel_CG15641	ncbi-geneid:32477
dme:Dmel_CG15642	ncbi-geneid:32476
dme:Dmel_CG15643	ncbi-geneid:32489
dme:Dmel_CG15645	ncbi-geneid:32492
dme:Dmel_CG15646	ncbi-geneid:32501
dme:Dmel_CG15649	ncbi-geneid:37371
dme:Dmel_CG15650	ncbi-geneid:37373
dme:Dmel_CG15651	ncbi-geneid:37375
dme:Dmel_CG15653	ncbi-geneid:37388
dme:Dmel_CG15657	ncbi-geneid:37408
dme:Dmel_CG15658	ncbi-geneid:37418
dme:Dmel_CG15661	ncbi-geneid:37421
dme:Dmel_CG15666	ncbi-geneid:37439
dme:Dmel_CG15667	ncbi-geneid:44263
dme:Dmel_CG15669	ncbi-geneid:37451
dme:Dmel_CG1567	ncbi-geneid:32032
dme:Dmel_CG15671	ncbi-geneid:45280
dme:Dmel_CG15673	ncbi-geneid:37459
dme:Dmel_CG15674	ncbi-geneid:37463
dme:Dmel_CG15676	ncbi-geneid:37472
dme:Dmel_CG15678	ncbi-geneid:37468
dme:Dmel_CG15685	ncbi-geneid:42415
dme:Dmel_CG1569	ncbi-geneid:43719
dme:Dmel_CG15693	ncbi-geneid:42464
dme:Dmel_CG15695	ncbi-geneid:42468
dme:Dmel_CG15696	ncbi-geneid:42469
dme:Dmel_CG15697	ncbi-geneid:42470
dme:Dmel_CG15701	ncbi-geneid:36801
