dme:Dmel_CG10000	up:Q8MYY6
dme:Dmel_CG15738	up:Q9VYS5
dme:Dmel_CG15738	up:X2JJK8
dme:Dmel_CG15739	up:Q9VYT0
dme:Dmel_CG15740	up:Q9VYT7
dme:Dmel_CG15741	up:Q9VYT9
dme:Dmel_CG15742	up:B7Z148
dme:Dmel_CG15743	up:Q9VYF2
dme:Dmel_CG15743	up:M9PH13
dme:Dmel_CG15744	up:Q7KV24
dme:Dmel_CG15747	up:Q9VYE3
dme:Dmel_CG15749	up:Q9VYE0
dme:Dmel_CG1575	up:Q9W3K4
dme:Dmel_CG15754	up:Q9VYC3
dme:Dmel_CG15756	up:Q9VYC2
dme:Dmel_CG15757	up:Q9VYC1
dme:Dmel_CG15760	up:M9PHR3
dme:Dmel_CG15764	up:Q9W465
dme:Dmel_CG15765	up:Q9W468
dme:Dmel_CG15766	up:Q9W469
dme:Dmel_CG15767	up:Q9W473
dme:Dmel_CG1577	up:Q7JWG9
dme:Dmel_CG1577	up:A0A1B2AJ61
dme:Dmel_CG15771	up:Q9W481
dme:Dmel_CG15772	up:Q9W483
dme:Dmel_CG15773	up:Q4V5L2
dme:Dmel_CG15779	up:Q9W497
dme:Dmel_CG1578	up:Q8MRI4
dme:Dmel_CG15784	up:Q9W4C1
dme:Dmel_CG15792	up:Q99323
dme:Dmel_CG15793	up:Q24324
dme:Dmel_CG15797	up:Q9W358
dme:Dmel_CG15797	up:X2JEL4
dme:Dmel_CG15800	up:Q9W1J7
dme:Dmel_CG15803	up:A0A0B4LIC4
dme:Dmel_CG15804	up:Q7KVA7
dme:Dmel_CG15807	up:Q9VGB5
dme:Dmel_CG15811	up:Q07327
dme:Dmel_CG15811	up:M9PEL1
dme:Dmel_CG15812	up:Q9VZU3
dme:Dmel_CG15814	up:Q9VX13
dme:Dmel_CG15817	up:Q8I077
dme:Dmel_CG15818	up:Q9VM16
dme:Dmel_CG1582	up:Q9VZ55
dme:Dmel_CG15820	up:Q9W045
dme:Dmel_CG15822	up:B7Z0I2
dme:Dmel_CG15824	up:Q9VPV1
dme:Dmel_CG15825	up:Q9VIX7
dme:Dmel_CG15828	up:Q7KTG2
dme:Dmel_CG15829	up:Q9VS21
dme:Dmel_CG1583	up:Q9W3I8
dme:Dmel_CG15835	up:Q9V333
dme:Dmel_CG1584	up:Q9Y1B2
dme:Dmel_CG15845	up:P05552
dme:Dmel_CG15845	up:C6SUW9
dme:Dmel_CG15848	up:Q8MSI2
dme:Dmel_CG15855	up:P48593
dme:Dmel_CG15855	up:C6SUU8
dme:Dmel_CG15860	up:Q9W0Y6
dme:Dmel_CG15861	up:Q9W0Y0
dme:Dmel_CG15862	up:P81900
dme:Dmel_CG15863	up:Q4QQ01
dme:Dmel_CG15864	up:Q9VHU7
dme:Dmel_CG15865	up:Q9VXD4
dme:Dmel_CG1587	up:Q9XYM0
dme:Dmel_CG15870	up:E2QCN8
dme:Dmel_CG15871	up:Q9VY48
dme:Dmel_CG15873	up:Q9W174
dme:Dmel_CG15874	up:Q9W173
dme:Dmel_CG15876	up:Q9VZ92
dme:Dmel_CG15877	up:Q9W019
dme:Dmel_CG15878	up:Q9W041
dme:Dmel_CG15879	up:Q9W048
dme:Dmel_CG15880	up:Q9VPT6
dme:Dmel_CG15881	up:Q7KUT5
dme:Dmel_CG15882	up:Q9VWM2
dme:Dmel_CG15883	up:Q9VWM0
dme:Dmel_CG15884	up:Q9VB81
dme:Dmel_CG15887	up:Q9VFX3
dme:Dmel_CG15888	up:Q9VFX4
dme:Dmel_CG15889	up:Q9VFX8
dme:Dmel_CG15890	up:Q9VY22
dme:Dmel_CG15891	up:Q9W411
dme:Dmel_CG15892	up:Q9W412
dme:Dmel_CG15894	up:A8JUZ7
dme:Dmel_CG15896	up:Q9W413
dme:Dmel_CG15897	up:Q9W415
dme:Dmel_CG15897	up:G2J611
dme:Dmel_CG15899	up:A8JUY8
dme:Dmel_CG15902	up:Q9VGS8
dme:Dmel_CG15904	up:A1ZBM9
dme:Dmel_CG15905	up:A0A0B4KFD3
dme:Dmel_CG15908	up:Q4QPU3
dme:Dmel_CG15909	up:A1Z6N3
dme:Dmel_CG1591	up:Q9V3P3
dme:Dmel_CG15912	up:Q9W4J7
dme:Dmel_CG15914	up:Q9VXN0
dme:Dmel_CG15916	up:Q8SXX0
dme:Dmel_CG15917	up:A1ZAQ9
dme:Dmel_CG15918	up:A1ZAQ7
dme:Dmel_CG15919	up:A1ZAJ6
dme:Dmel_CG15920	up:Q9V7U0
dme:Dmel_CG15922	up:Q9VDL5
dme:Dmel_CG15923	up:Q9VDK3
dme:Dmel_CG15925	up:A1ZAG4
dme:Dmel_CG15927	up:Q9VYN0
dme:Dmel_CG15929	up:Q9W482
dme:Dmel_CG15930	up:Q9W4D3
dme:Dmel_CG1594	up:Q24592
dme:Dmel_CG1597	up:Q9VZ04
dme:Dmel_CG1598	up:Q7JWD3
dme:Dmel_CG1599	up:Q7JYX5
dme:Dmel_CG1600	up:Q0E9G4
dme:Dmel_CG1602	up:Q8MSB3
dme:Dmel_CG1603	up:Q1LZ24
dme:Dmel_CG1605	up:Q5BIC3
dme:Dmel_CG1607	up:A0A0B4KHK8
dme:Dmel_CG1609	up:Q9V9X8
dme:Dmel_CG1615	up:Q94526
dme:Dmel_CG1615	up:X2JD82
dme:Dmel_CG1616	up:Q26454
dme:Dmel_CG1616	up:A0A0B4LEV2
dme:Dmel_CG1618	up:P46461
dme:Dmel_CG1618	up:M9PH10
dme:Dmel_CG1619	up:Q86CW5
dme:Dmel_CG1620	up:E1JGZ3
dme:Dmel_CG1621	up:Q7JUZ9
dme:Dmel_CG1622	up:M9PHQ4
dme:Dmel_CG1623	up:Q7K568
dme:Dmel_CG1625	up:A1Z7Z9
dme:Dmel_CG1628	up:Q9W2T2
dme:Dmel_CG1629	up:Q9V4C0
dme:Dmel_CG1631	up:Q9VR84
dme:Dmel_CG1632	up:Q9W3H0
dme:Dmel_CG1633	up:Q9V3P0
dme:Dmel_CG1633	up:X2JF59
dme:Dmel_CG1634	up:P20241
dme:Dmel_CG1634	up:E1JJF8
dme:Dmel_CG1635	up:Q95TK5
dme:Dmel_CG1636	up:X2JEI6
dme:Dmel_CG1637	up:Q9VZ57
dme:Dmel_CG1638	up:Q9V9W5
dme:Dmel_CG1639	up:O97454
dme:Dmel_CG1640	up:Q7KV27
dme:Dmel_CG1641	up:Q9VZ09
dme:Dmel_CG1643	up:Q9W3R7
dme:Dmel_CG1644	up:Q9VRI9
dme:Dmel_CG1646	up:Q7KRW8
dme:Dmel_CG1647	up:A0A0B4KH87
dme:Dmel_CG1648	up:Q7K2P3
dme:Dmel_CG1650	up:Q4V5A3
dme:Dmel_CG1651	up:Q0KIE7
dme:Dmel_CG1652	up:Q7JY62
dme:Dmel_CG1655	up:Q9VZ61
dme:Dmel_CG1656	up:A1Z7Z6
dme:Dmel_CG1657	up:Q9VZ08
dme:Dmel_CG1659	up:Q9XYQ2
dme:Dmel_CG1659	up:Q540Y4
dme:Dmel_CG1660	up:Q9VYD7
dme:Dmel_CG1660	up:X2JEU5
dme:Dmel_CG1662	up:Q9VYD6
dme:Dmel_CG1663	up:Q4V6W8
dme:Dmel_CG1664	up:Q9U1H9
dme:Dmel_CG1665	up:A1Z803
dme:Dmel_CG1666	up:Q9VRI0
dme:Dmel_CG1667	up:A0A0B4LFY9
dme:Dmel_CG1668	up:P54192
dme:Dmel_CG1668	up:E2DCD9
dme:Dmel_CG1669	up:Q9V4L4
dme:Dmel_CG1669	up:B7YZS7
dme:Dmel_CG1670	up:Q9VR95
dme:Dmel_CG16700	up:Q9VX84
dme:Dmel_CG16704	up:Q9VQT5
dme:Dmel_CG16705	up:Q9VCJ8
dme:Dmel_CG16707	up:M9PHX2
dme:Dmel_CG16708	up:Q9VNA6
dme:Dmel_CG1671	up:Q7JQT9
dme:Dmel_CG16710	up:Q9VCJ9
dme:Dmel_CG16711	up:Q9VT35
dme:Dmel_CG16712	up:Q9VQT8
dme:Dmel_CG16713	up:Q9VQT7
dme:Dmel_CG16716	up:A1ZBN5
dme:Dmel_CG16717	up:Q9VT29
dme:Dmel_CG16718	up:A0A0B4JCY1
dme:Dmel_CG16719	up:Q9VT31
dme:Dmel_CG16720	up:P28285
dme:Dmel_CG16721	up:Q9W461
dme:Dmel_CG16723	up:Q9VCK8
dme:Dmel_CG16724	up:P11596
dme:Dmel_CG16725	up:Q9VV74
dme:Dmel_CG16727	up:Q9VDV6
dme:Dmel_CG16728	up:Q95RG8
dme:Dmel_CG1673	up:Q9VYD5
dme:Dmel_CG16732	up:A0A0B4JCZ9
dme:Dmel_CG16733	up:Q9VHH0
dme:Dmel_CG16734	up:Q9VHG8
dme:Dmel_CG16736	up:Q9VHG7
dme:Dmel_CG16738	up:P32030
dme:Dmel_CG16738	up:Q961V5
dme:Dmel_CG16739	up:Q4V671
dme:Dmel_CG1674	up:Q9V4C1
dme:Dmel_CG16740	up:P08099
dme:Dmel_CG16740	up:S5M1F0
dme:Dmel_CG16741	up:Q8T956
dme:Dmel_CG16742	up:A1ZBW7
dme:Dmel_CG16743	up:M9PFK3
dme:Dmel_CG16747	up:P54361
dme:Dmel_CG16749	up:Q9VHF7
dme:Dmel_CG1675	up:Q6NN40
dme:Dmel_CG1675	up:A0A384ZCM4
dme:Dmel_CG16752	up:Q8SWR3
dme:Dmel_CG16753	up:Q9VZV8
dme:Dmel_CG16755	up:Q9VHE6
dme:Dmel_CG16755	up:E2E4X6
dme:Dmel_CG16756	up:Q9W4C2
dme:Dmel_CG16757	up:M9NEY3
dme:Dmel_CG16758	up:M9ND26
dme:Dmel_CG1676	up:Q9VR99
dme:Dmel_CG16761	up:Q9W011
dme:Dmel_CG16761	up:H8F4S6
dme:Dmel_CG16762	up:Q9W012
dme:Dmel_CG16766	up:Q9VEG2
dme:Dmel_CG1677	up:Q9W3R9
dme:Dmel_CG16771	up:Q9VIW9
dme:Dmel_CG16772	up:Q9VIQ6
dme:Dmel_CG16775	up:Q9VVM3
dme:Dmel_CG16778	up:P14083
dme:Dmel_CG16778	up:A0A0B4LGK1
dme:Dmel_CG16779	up:Q9VHD1
dme:Dmel_CG16779	up:A0A0B4KGL1
dme:Dmel_CG1678	up:Q9VRI1
dme:Dmel_CG16781	up:M9PDP1
dme:Dmel_CG16782	up:Q9W4S4
dme:Dmel_CG16783	up:Q9W1F6
dme:Dmel_CG16784	up:P48611
dme:Dmel_CG16785	up:O77438
dme:Dmel_CG16785	up:X2JC46
dme:Dmel_CG16786	up:Q7JRF0
dme:Dmel_CG16787	up:Q9W1F2
dme:Dmel_CG16788	up:Q9VHC0
dme:Dmel_CG16789	up:A0A0B4KFL6
dme:Dmel_CG16790	up:Q9VHB3
dme:Dmel_CG16790	up:B5X522
dme:Dmel_CG16791	up:A0A0B4LHQ0
dme:Dmel_CG16792	up:Q24297
dme:Dmel_CG16793	up:M9PFT4
dme:Dmel_CG16798	up:Q9VIM8
dme:Dmel_CG16799	up:A1ZBX6
dme:Dmel_CG16800	up:Q9VK49
dme:Dmel_CG16801	up:A1ZA01
dme:Dmel_CG16807	up:Q9VV48
dme:Dmel_CG1681	up:Q8MRM0
dme:Dmel_CG16812	up:Q9VK18
dme:Dmel_CG16813	up:Q9VK16
dme:Dmel_CG16815	up:Q9VK15
dme:Dmel_CG16817	up:Q9VH95
dme:Dmel_CG16817	up:A0A0B4K6D2
dme:Dmel_CG16820	up:Q9VK11
dme:Dmel_CG16824	up:Q6IHK7
dme:Dmel_CG16825	up:Q9VK02
dme:Dmel_CG16826	up:Q9VK00
dme:Dmel_CG16827	up:Q9V7A4
dme:Dmel_CG1683	up:O62526
dme:Dmel_CG16833	up:Q9VKL9
dme:Dmel_CG16834	up:Q9VKL8
dme:Dmel_CG16836	up:A1ZB62
dme:Dmel_CG16837	up:Q9W168
dme:Dmel_CG16838	up:Q9VUZ2
dme:Dmel_CG16840	up:Q8SX32
dme:Dmel_CG16844	up:Q9V8G0
dme:Dmel_CG16844	up:A0A0B4LGW9
dme:Dmel_CG16848	up:Q9VJY1
dme:Dmel_CG1685	up:O61345
dme:Dmel_CG16852	up:Q9VJX2
dme:Dmel_CG16853	up:Q9V458
dme:Dmel_CG16854	up:M9ND65
dme:Dmel_CG16857	up:Q9U4G1
dme:Dmel_CG16858	up:Q9VMV5
dme:Dmel_CG16863	up:Q0E8Q6
dme:Dmel_CG16865	up:Q9V412
dme:Dmel_CG16865	up:M9PD43
dme:Dmel_CG16868	up:Q5BI42
dme:Dmel_CG16869	up:Q9VJV2
dme:Dmel_CG16870	up:P56544
dme:Dmel_CG16870	up:X2JE33
dme:Dmel_CG16873	up:Q9VJU6
dme:Dmel_CG16874	up:Q9VKI3
dme:Dmel_CG16874	up:X2J9F7
dme:Dmel_CG16876	up:Q9V392
dme:Dmel_CG1688	up:Q7KMM5
dme:Dmel_CG16880	up:Q9VJU2
dme:Dmel_CG16884	up:Q9V3Z9
dme:Dmel_CG16885	up:Q8SZM2
dme:Dmel_CG16886	up:M9MSI3
dme:Dmel_CG16888	up:Q9VJW0
dme:Dmel_CG16889	up:Q9V3R6
dme:Dmel_CG16889	up:M9PDF5
dme:Dmel_CG1689	up:Q9W349
dme:Dmel_CG16890	up:X2J600
dme:Dmel_CG16892	up:Q9W351
dme:Dmel_CG16894	up:A1ZBR5
dme:Dmel_CG16894	up:G4LU15
dme:Dmel_CG16896	up:Q9W0Z4
dme:Dmel_CG16898	up:A1ZBR1
dme:Dmel_CG1690	up:Q7JY31
dme:Dmel_CG16901	up:Q08473
dme:Dmel_CG16903	up:Q9W526
dme:Dmel_CG16904	up:Q9VH57
dme:Dmel_CG16905	up:Q9VH58
dme:Dmel_CG16908	up:Q9VH80
dme:Dmel_CG1691	up:Q0KHU2
dme:Dmel_CG16910	up:Q9GYV5
dme:Dmel_CG16912	up:Q9W107
dme:Dmel_CG16914	up:P82384
dme:Dmel_CG16914	up:D0IQB8
dme:Dmel_CG16916	up:Q9V405
dme:Dmel_CG1692	up:Q9VRA2
dme:Dmel_CG1692	up:X2JFY7
dme:Dmel_CG16926	up:Q95RA0
dme:Dmel_CG16928	up:Q9XYZ4
dme:Dmel_CG1693	up:Q9U6L4
dme:Dmel_CG16931	up:Q9VUS3
dme:Dmel_CG16932	up:E3CTP7
dme:Dmel_CG16935	up:Q9V6U9
dme:Dmel_CG16935	up:H8F4T6
dme:Dmel_CG16936	up:Q9XYZ9
dme:Dmel_CG16940	up:Q9W0T7
dme:Dmel_CG16941	up:Q9VEP9
dme:Dmel_CG16944	up:Q26365
dme:Dmel_CG16944	up:D1Z385
dme:Dmel_CG16947	up:Q9VMD4
dme:Dmel_CG1695	up:Q8IQ31
dme:Dmel_CG16952	up:Q9VXM6
dme:Dmel_CG16953	up:Q9VDK9
dme:Dmel_CG16954	up:Q9VJX7
dme:Dmel_CG16956	up:Q9VJY0
dme:Dmel_CG16957	up:Q9VJY5
dme:Dmel_CG16959	up:M9PFB1
dme:Dmel_CG1696	up:Q9VRG7
dme:Dmel_CG16960	up:P81914
dme:Dmel_CG16961	up:P81915
dme:Dmel_CG16963	up:Q9VKE2
dme:Dmel_CG16964	up:Q9VKE1
dme:Dmel_CG16965	up:Q9VKD9
dme:Dmel_CG16969	up:Q9VKD6
dme:Dmel_CG1697	up:Q9VYW6
dme:Dmel_CG16972	up:Q8SWW4
dme:Dmel_CG16973	up:M9PH19
dme:Dmel_CG16974	up:Q9VK28
dme:Dmel_CG16975	up:Q9VK33
dme:Dmel_CG16975	up:M9PFS7
dme:Dmel_CG16978	up:Q9VK38
dme:Dmel_CG16979	up:Q9VUR0
dme:Dmel_CG1698	up:Q7K330
dme:Dmel_CG16982	up:Q9W5E1
dme:Dmel_CG16982	up:X2JA05
dme:Dmel_CG16983	up:O77430
dme:Dmel_CG16984	up:Q9VZZ8
dme:Dmel_CG16985	up:Q9VZZ6
dme:Dmel_CG16986	up:Q9VZZ5
dme:Dmel_CG16987	up:Q9VQG9
dme:Dmel_CG16988	up:Q9NHX0
dme:Dmel_CG16989	up:Q9W5D3
dme:Dmel_CG16989	up:Q7JV48
dme:Dmel_CG16991	up:Q8IQ78
dme:Dmel_CG16992	up:Q9VS77
dme:Dmel_CG16993	up:Q9VPH0
dme:Dmel_CG16995	up:Q9VQA7
dme:Dmel_CG16996	up:Q9VKA9
dme:Dmel_CG16997	up:Q9VKA8
dme:Dmel_CG16998	up:Q9VS86
dme:Dmel_CG17002	up:A0A0B4JD24
dme:Dmel_CG17003	up:Q9W5X9
dme:Dmel_CG17005	up:M9PCN2
dme:Dmel_CG17009	up:Q9VLD7
dme:Dmel_CG1701	up:A1Z6Y2
dme:Dmel_CG17010	up:Q9VK96
dme:Dmel_CG17011	up:Q6GV06
dme:Dmel_CG17012	up:Q9VQA0
dme:Dmel_CG17018	up:Q9W5Y4
dme:Dmel_CG17019	up:A1Z971
dme:Dmel_CG1702	up:E1JJS1
dme:Dmel_CG17023	up:Q5LK13
dme:Dmel_CG17026	up:Q9VUW1
dme:Dmel_CG17027	up:Q9VUW4
dme:Dmel_CG17028	up:Q9VUW3
dme:Dmel_CG17029	up:Q9VUW2
dme:Dmel_CG1703	up:Q9VYW4
dme:Dmel_CG17030	up:Q9VZ73
dme:Dmel_CG17031	up:Q9VK76
dme:Dmel_CG17032	up:Q9VUV8
dme:Dmel_CG17033	up:Q9VUV7
dme:Dmel_CG17035	up:B7Z059
dme:Dmel_CG17036	up:Q9VK64
dme:Dmel_CG17044	up:Q9VFV2
dme:Dmel_CG17045	up:Q9VFV3
dme:Dmel_CG17046	up:Q7YU15
dme:Dmel_CG17047	up:A1Z9B9
dme:Dmel_CG17048	up:Q4QPY0
dme:Dmel_CG1705	up:Q9VYW2
dme:Dmel_CG17051	up:P54353
dme:Dmel_CG17052	up:Q9VR79
dme:Dmel_CG17058	up:E3CTR7
dme:Dmel_CG17059	up:Q7JVR7
dme:Dmel_CG17060	up:O15971
dme:Dmel_CG17061	up:Q9W0R5
dme:Dmel_CG17063	up:Q9VR82
dme:Dmel_CG17064	up:Q7K3L1
dme:Dmel_CG17064	up:E1JH57
dme:Dmel_CG17065	up:Q9VR81
dme:Dmel_CG17065	up:X2JFY0
dme:Dmel_CG17068	up:Q9VR80
dme:Dmel_CG1707	up:A1Z6X6
dme:Dmel_CG17075	up:Q9VPM2
dme:Dmel_CG17077	up:P51023
dme:Dmel_CG17078	up:M9PDS0
dme:Dmel_CG1708	up:O16844
dme:Dmel_CG1708	up:A0A0B4KED9
dme:Dmel_CG17081	up:M9MSL4
dme:Dmel_CG17082	up:Q8T0G4
dme:Dmel_CG17083	up:Q9VCN4
dme:Dmel_CG17084	up:Q9W0R6
dme:Dmel_CG1709	up:Q6NLA3
dme:Dmel_CG17090	up:M9PDR2
dme:Dmel_CG17097	up:E2QCS7
dme:Dmel_CG17098	up:Q9VKS7
dme:Dmel_CG1710	up:Q9V4C8
dme:Dmel_CG17100	up:Q9VGZ5
dme:Dmel_CG17104	up:Q9VKS4
dme:Dmel_CG17105	up:Q9VKS3
dme:Dmel_CG17107	up:Q9VKS2
dme:Dmel_CG17108	up:Q9VKR8
dme:Dmel_CG17109	up:Q9VCR0
dme:Dmel_CG17110	up:Q8T490
dme:Dmel_CG17111	up:Q9VCR4
dme:Dmel_CG17116	up:X2J9C9
dme:Dmel_CG17117	up:O46339
dme:Dmel_CG17118	up:Q9VKR1
dme:Dmel_CG17119	up:Q9VCR7
dme:Dmel_CG17119	up:Q7YZ90
dme:Dmel_CG1712	up:Q9V4K2
dme:Dmel_CG17121	up:Q9VCR9
dme:Dmel_CG17122	up:Q9VWA6
dme:Dmel_CG17124	up:Q9VKQ5
dme:Dmel_CG17127	up:Q9VKQ2
dme:Dmel_CG17129	up:Q9W0P1
dme:Dmel_CG17131	up:Q8MS37
dme:Dmel_CG17134	up:Q9VKP6
dme:Dmel_CG17136	up:Q02427
dme:Dmel_CG17137	up:Q9VKP2
dme:Dmel_CG17139	up:Q9VKP3
dme:Dmel_CG17140	up:Q9VKP4
dme:Dmel_CG17141	up:Q9VCU5
dme:Dmel_CG17142	up:Q9W0T5
dme:Dmel_CG17143	up:Q8IRJ8
dme:Dmel_CG17145	up:Q9VW95
dme:Dmel_CG17146	up:Q9VTV3
dme:Dmel_CG17147	up:F3YDE1
dme:Dmel_CG17148	up:P18167
dme:Dmel_CG17149	up:Q9VW97
dme:Dmel_CG17149	up:B7Z0G7
dme:Dmel_CG1715	up:Q9VA18
dme:Dmel_CG17150	up:Q1LZ38
dme:Dmel_CG17152	up:Q9VTT6
dme:Dmel_CG17153	up:Q9VTT3
dme:Dmel_CG17154	up:Q9VTT1
dme:Dmel_CG17158	up:P48603
dme:Dmel_CG17158	up:M9PBN7
dme:Dmel_CG17159	up:A8Y5B0
dme:Dmel_CG1716	up:Q9VYD1
dme:Dmel_CG1716	up:E1JJN9
dme:Dmel_CG17161	up:O61661
dme:Dmel_CG17162	up:Q8SYH8
dme:Dmel_CG17163	up:Q9W5Q2
dme:Dmel_CG17166	up:Q9VUJ0
dme:Dmel_CG17166	up:G2J631
dme:Dmel_CG17167	up:Q5LJY0
dme:Dmel_CG17168	up:Q9W5Q1
dme:Dmel_CG17169	up:Q7PLW5
dme:Dmel_CG17170	up:P25991
dme:Dmel_CG17172	up:Q86P48
dme:Dmel_CG17173	up:Q9VUH5
dme:Dmel_CG17174	up:Q9VK52
dme:Dmel_CG17176	up:M9NDN7
dme:Dmel_CG17177	up:M9PF89
dme:Dmel_CG17178	up:Q9VK50
dme:Dmel_CG1718	up:M9PFD0
dme:Dmel_CG17180	up:Q9W0Q3
dme:Dmel_CG17181	up:Q9W0P9
dme:Dmel_CG17183	up:Q9W0P3
dme:Dmel_CG17184	up:Q9VGQ8
dme:Dmel_CG17186	up:Q9VDT2
dme:Dmel_CG17187	up:Q9VGR0
dme:Dmel_CG17190	up:A0A0B4K7I7
dme:Dmel_CG17191	up:Q9VB91
dme:Dmel_CG17192	up:Q9VB92
dme:Dmel_CG17193	up:Q8SXH7
dme:Dmel_CG17195	up:Q9VBM5
dme:Dmel_CG17196	up:E1JIY0
dme:Dmel_CG17197	up:Q9VBM7
dme:Dmel_CG17198	up:Q9VBM8
dme:Dmel_CG17199	up:Q9VDP6
dme:Dmel_CG17200	up:Q9VGT2
dme:Dmel_CG17202	up:Q9VG76
dme:Dmel_CG17207	up:Q7KSM4
dme:Dmel_CG17209	up:A8JUY3
dme:Dmel_CG1721	up:Q9VAN7
dme:Dmel_CG17210	up:Q9VGQ4
dme:Dmel_CG17211	up:Q9VKA7
dme:Dmel_CG17212	up:X2J9K6
dme:Dmel_CG17213	up:Q9VKA5
dme:Dmel_CG17216	up:Q9VGQ0
dme:Dmel_CG17217	up:Q9VKA2
dme:Dmel_CG17218	up:Q9VKA0
dme:Dmel_CG17219	up:Q9VQK8
dme:Dmel_CG1722	up:Q9VRG1
dme:Dmel_CG17221	up:Q8IPZ3
dme:Dmel_CG17223	up:Q9VQK4
dme:Dmel_CG17224	up:Q0E8U4
dme:Dmel_CG17226	up:Q9W1P7
dme:Dmel_CG17227	up:Q9VG84
dme:Dmel_CG17228	up:P29617
dme:Dmel_CG17230	up:Q7K4X4
dme:Dmel_CG17233	up:M9NFL3
dme:Dmel_CG17234	up:Q9VQ99
dme:Dmel_CG17237	up:Q9VQA5
dme:Dmel_CG17239	up:Q9VQ98
dme:Dmel_CG1724	up:Q9VRF6
dme:Dmel_CG17240	up:Q9VQ97
dme:Dmel_CG17241	up:Q9VCS9
dme:Dmel_CG17242	up:Q9VQA3
dme:Dmel_CG17244	up:Q9VCT2
dme:Dmel_CG17245	up:Q9V4A7
dme:Dmel_CG17245	up:H9XVL5
dme:Dmel_CG17246	up:Q94523
dme:Dmel_CG17248	up:Q86BQ0
dme:Dmel_CG17249	up:Q9W0B6
dme:Dmel_CG1725	up:P31007
dme:Dmel_CG17250	up:Q9V9I2
dme:Dmel_CG17252	up:O76857
dme:Dmel_CG17255	up:Q9W2U7
dme:Dmel_CG17256	up:Q9W3N8
dme:Dmel_CG17257	up:X2J6Q6
dme:Dmel_CG17258	up:M9PEB9
dme:Dmel_CG17259	up:Q9VQL1
dme:Dmel_CG17260	up:Q9VQL2
dme:Dmel_CG17261	up:Q9VQL5
dme:Dmel_CG17262	up:Q9VQL3
dme:Dmel_CG17264	up:Q9VQK3
dme:Dmel_CG17265	up:Q9VQK1
dme:Dmel_CG17266	up:Q4V5H1
dme:Dmel_CG17267	up:Q9VDJ3
dme:Dmel_CG17268	up:Q24178
dme:Dmel_CG17268	up:S5ML38
dme:Dmel_CG17269	up:Q8MYL1
dme:Dmel_CG17270	up:Q9VDI6
dme:Dmel_CG17271	up:Q0KI39
dme:Dmel_CG17272	up:Q9VDI3
dme:Dmel_CG17273	up:Q9Y0Y2
dme:Dmel_CG17278	up:Q9VDG1
dme:Dmel_CG17279	up:Q9VDF6
dme:Dmel_CG1728	up:Q9Y1A3
dme:Dmel_CG1728	up:X2JB87
dme:Dmel_CG17280	up:Q9W1N3
dme:Dmel_CG17282	up:Q9VDE4
dme:Dmel_CG17283	up:Q9VEK5
dme:Dmel_CG17284	up:Q9VDE1
dme:Dmel_CG17285	up:Q04691
dme:Dmel_CG17286	up:Q9VV79
dme:Dmel_CG17287	up:A1ZAR2
dme:Dmel_CG17290	up:Q7JZR0
dme:Dmel_CG17291	up:P36179
dme:Dmel_CG17291	up:M9MQH9
dme:Dmel_CG17292	up:Q7K3Z8
dme:Dmel_CG17293	up:Q9VLN1
dme:Dmel_CG17294	up:Q9VLM9
dme:Dmel_CG17295	up:Q9VLM6
dme:Dmel_CG17298	up:Q9VDB8
dme:Dmel_CG17299	up:A1A703
dme:Dmel_CG17300	up:Q9VU49
dme:Dmel_CG17301	up:Q8T8U1
dme:Dmel_CG17302	up:Q9VQE5
dme:Dmel_CG17302	up:M9PE80
dme:Dmel_CG1732	up:Q9V4E7
dme:Dmel_CG17320	up:Q9VJ43
dme:Dmel_CG17321	up:Q9VJ40
dme:Dmel_CG17322	up:Q9VJ45
dme:Dmel_CG17323	up:Q9VJ46
dme:Dmel_CG17324	up:Q9VJ47
dme:Dmel_CG17325	up:Q9VJ48
dme:Dmel_CG17327	up:Q9VG06
dme:Dmel_CG17328	up:M9PD13
dme:Dmel_CG17329	up:Q9V3Z8
dme:Dmel_CG17330	up:Q9VJK8
dme:Dmel_CG17331	up:Q9VJJ0
dme:Dmel_CG17332	up:Q9V3J1
dme:Dmel_CG17332	up:M9PDK5
dme:Dmel_CG17333	up:Q9VZ64
dme:Dmel_CG17334	up:Q9VRN5
dme:Dmel_CG17336	up:Q08832
dme:Dmel_CG17337	up:A0A0B4LEQ0
dme:Dmel_CG17342	up:Q9VGI4
dme:Dmel_CG17343	up:Q9I7M5
dme:Dmel_CG17344	up:Q9VJ01
dme:Dmel_CG17347	up:Q9VIZ1
dme:Dmel_CG17348	up:Q27324
dme:Dmel_CG17349	up:Q9VIX9
dme:Dmel_CG17350	up:Q9VIX8
dme:Dmel_CG17352	up:A8JNN6
dme:Dmel_CG17358	up:P49905
dme:Dmel_CG17359	up:Q9VUB3
dme:Dmel_CG1736	up:Q9VA12
dme:Dmel_CG17360	up:A0A0B4KH60
dme:Dmel_CG17361	up:Q8SZ13
dme:Dmel_CG17362	up:Q9VUB0
dme:Dmel_CG17364	up:Q7KUJ8
dme:Dmel_CG17367	up:A0A0B4LHY5
dme:Dmel_CG17369	up:P31409
dme:Dmel_CG17369	up:E1JIJ5
dme:Dmel_CG1737	up:Q9VZ00
dme:Dmel_CG17370	up:Q86P97
dme:Dmel_CG17374	up:Q7PLB8
dme:Dmel_CG17375	up:B5RJ86
dme:Dmel_CG17376	up:X2JDF3
